hidden_size,activation,num_iterations,run,forward_mse,inverse_mse,roundtrip_mse,final_loss,runtime_seconds
1,relu,7,3,0.6613262295722961,0.381943017244339,2.711850881576538,45.32908797264099,6.690012454986572
1,relu,9,1,1.3454896211624146,0.5262349843978882,1.5369302034378052,70.4096302986145,8.135156869888306
1,relu,9,2,1.506797194480896,0.5156849026679993,2.0119903087615967,69.09945380687714,7.7351062297821045
1,relu,9,3,1.6703166961669922,0.5086997151374817,6.3652801513671875,68.60453462600708,8.008230447769165
1,relu,11,1,1.2406786680221558,0.4714069366455078,1.4959558248519897,98.79899752140045,8.967846155166626
1,relu,11,2,2.0496714115142822,0.6885616183280945,2.5003631114959717,192.16171264648438,8.732985973358154
1,relu,11,3,1.5172615051269531,0.5200512409210205,1.877693772315979,101.61482727527618,8.99985146522522
1,leaky_relu,1,1,0.15784744918346405,0.0031535010784864426,14.838607788085938,0.16078318236395717,3.1619784832000732
1,leaky_relu,1,2,0.1708351969718933,0.005935125518590212,0.7381076812744141,0.16864570369943976,3.1625888347625732
1,leaky_relu,1,3,0.15652601420879364,0.004097904544323683,4.310237407684326,0.15820653177797794,3.077564001083374
1,leaky_relu,3,1,0.5685470104217529,0.21456687152385712,34.385494232177734,6.953557029366493,4.668571949005127
1,leaky_relu,3,2,0.5925813317298889,0.4486861228942871,13.964363098144531,6.52851328253746,4.595099449157715
1,leaky_relu,3,3,0.5764917135238647,0.18583230674266815,30.84515380859375,6.331314377486706,4.309837579727173
1,leaky_relu,5,1,0.17522598803043365,0.017267940565943718,126.50655364990234,9.014674365520477,5.901282072067261
1,leaky_relu,5,2,0.17995525896549225,0.0175482090562582,35.97749710083008,11.200366243720055,5.669204473495483
1,leaky_relu,5,3,1.5015558004379272,0.5210475325584412,2.0366625785827637,21.08929815888405,5.439008474349976
1,leaky_relu,7,1,0.17738397419452667,0.03595651313662529,281.400146484375,16.720337748527527,6.799421310424805
1,leaky_relu,7,2,0.6063539385795593,0.3624350130558014,3.9156103134155273,38.27026468515396,6.595358610153198
1,leaky_relu,7,3,1.460906982421875,0.5143398642539978,13.914054870605469,38.500724732875824,6.725619316101074
1,leaky_relu,9,1,0.4716832935810089,0.5022611618041992,1125854.375,68.83775043487549,8.000998258590698
1,leaky_relu,9,2,1.6856993436813354,0.5272051692008972,1.8670521974563599,66.63471376895905,7.569490671157837
1,leaky_relu,9,3,0.957009494304657,0.49722376465797424,1.3822636604309082,63.79153287410736,7.821669101715088
1,leaky_relu,11,1,1.4939154386520386,0.5056707262992859,1.6755934953689575,122.69713950157166,8.647099733352661
1,leaky_relu,11,2,0.8003183007240295,0.8686097264289856,3.6589624881744385,97.59957909584045,9.114080429077148
1,leaky_relu,11,3,0.8032121658325195,0.5070506930351257,2.34330153465271,103.57490682601929,9.70136284828186
1,sigmoid,1,1,0.17140783369541168,0.003607821883633733,1.5592893362045288,0.1592969922348857,3.292600154876709
1,sigmoid,1,2,0.16084937751293182,0.0034948892425745726,9.661140441894531,0.15992216090671718,3.087390422821045
1,sigmoid,1,3,0.1479254812002182,0.0029777574818581343,6.037664413452148,0.16148697352036834,3.1142823696136475
1,sigmoid,3,1,0.7748885750770569,0.4316380023956299,1.068774700164795,9.894402921199799,4.304509401321411
1,sigmoid,3,2,0.5163069367408752,0.35867834091186523,1.0051180124282837,9.248169139027596,4.4357545375823975
1,sigmoid,3,3,0.4800160825252533,0.35736536979675293,0.651218056678772,9.736431986093521,4.456323146820068
1,sigmoid,5,1,0.90437912940979,0.7197251319885254,1.087265133857727,29.344071447849274,5.476675271987915
1,sigmoid,5,2,0.9859514236450195,0.7652022242546082,1.1611312627792358,30.756957828998566,5.423386573791504
1,sigmoid,5,3,1.0931869745254517,0.7675043940544128,1.28754723072052,30.305328488349915,5.600414276123047
1,sigmoid,7,1,0.9318397641181946,0.7625484466552734,1.08016836643219,59.24281406402588,6.62200140953064
1,sigmoid,7,2,1.0423760414123535,0.8620502948760986,1.141525149345398,61.06834411621094,6.896125078201294
1,sigmoid,7,3,1.0242654085159302,0.7006280422210693,1.1509779691696167,60.47455394268036,6.524222135543823
1,sigmoid,9,1,1.0632712841033936,0.919365644454956,1.1091915369033813,102.74407625198364,8.151611566543579
1,sigmoid,9,2,1.4524632692337036,0.9504314064979553,1.5196752548217773,108.59490633010864,7.874123811721802
1,sigmoid,9,3,1.1193643808364868,0.8903142809867859,1.1254990100860596,102.50414109230042,8.477383852005005
1,sigmoid,11,1,1.2886923551559448,0.9151247143745422,1.382748007774353,158.47852277755737,9.030234575271606
1,sigmoid,11,2,1.2779052257537842,0.8353607058525085,1.3795965909957886,157.59403538703918,9.083237886428833
1,sigmoid,11,3,1.1785778999328613,1.1701785326004028,1.2304327487945557,144.7057499885559,8.981348752975464
3,tanhshrink,1,1,0.1618347465991974,0.003659676993265748,7.333055019378662,0.16054483968764544,3.338080406188965
3,tanhshrink,1,2,0.1496124118566513,0.003905470250174403,4.937374591827393,0.1588297940324992,3.4661548137664795
3,tanhshrink,1,3,0.15388698875904083,0.0029790957923978567,7.797262668609619,0.16338328598067164,3.090369939804077
3,tanhshrink,3,1,0.17821483314037323,0.21885007619857788,5.280580043792725,1.3159927800297737,4.676503658294678
3,tanhshrink,3,2,0.2354181557893753,0.13042546808719635,3.0159378051757812,1.6332298591732979,4.865219593048096
3,tanhshrink,3,3,0.17707407474517822,0.13372808694839478,14.736760139465332,1.226138573139906,4.571789264678955
3,tanhshrink,5,1,0.23279201984405518,0.5508460998535156,9.377062797546387,5.462409153580666,5.894373655319214
3,tanhshrink,5,2,0.32498183846473694,0.11307410150766373,3.134877920150757,6.522312328219414,6.381049156188965
3,tanhshrink,5,3,0.39965662360191345,0.42531371116638184,469.6866760253906,7.122159704566002,5.8774590492248535
3,tanhshrink,7,1,0.714484453201294,0.6753811240196228,3.637512445449829,20.751619338989258,6.95822286605835
3,tanhshrink,7,2,0.5003435015678406,0.6387584209442139,1.2322217226028442,23.48684149980545,6.957200288772583
3,tanhshrink,7,3,0.5280798077583313,0.4589504897594452,3.7004916667938232,20.661957621574402,7.513676881790161
3,tanhshrink,9,1,0.7027547359466553,0.35962793231010437,0.80467289686203,45.27915585041046,8.198813915252686
3,tanhshrink,9,2,0.9852242469787598,0.3888305127620697,2.0507023334503174,36.928668797016144,7.925234079360962
3,tanhshrink,9,3,0.7592472434043884,0.7234727740287781,2.3898632526397705,43.561100244522095,8.308423280715942
3,tanhshrink,11,1,1.9595998525619507,1.3734599351882935,2.9167375564575195,127.45683169364929,9.629297256469727
3,tanhshrink,11,2,0.6338231563568115,0.7973255515098572,3.4218294620513916,51.88648188114166,9.536419868469238
3,tanhshrink,11,3,1.085620641708374,0.9206631183624268,2.1796655654907227,58.44468426704407,9.621596574783325
3,tanh,1,1,0.15659265220165253,0.0035929607693105936,12.412653923034668,0.15581884188577533,3.1461894512176514
3,tanh,1,2,0.15215378999710083,0.003647027537226677,29.01497459411621,0.1584419975988567,3.1133639812469482
3,tanh,1,3,0.1790098398923874,0.005433596670627594,59.735233306884766,0.16582325450144708,3.047891855239868
3,tanh,3,1,0.12760186195373535,0.12851563096046448,16.932361602783203,9.232188671827316,4.308456897735596
3,tanh,3,2,0.23183657228946686,0.11775029450654984,6.255661487579346,6.218205273151398,4.765730381011963
